variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
Anthracite imports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite imports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite imports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite imports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite imports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite imports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite imports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite imports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite production (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite production (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite production (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite production (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel production (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel production (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biodiesel production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biodiesel production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels production (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels production (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biofuels production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biofuels production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biomass and waste electricity installed capacity (million kilowatts),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biomass and waste electricity installed capacity (million kilowatts),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biomass and waste electricity net generation (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biomass and waste electricity net generation (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biomass and waste electricity net generation (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biomass and waste electricity net generation (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biomass and waste electricity net generation (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biomass and waste electricity net generation (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Biomass and waste electricity net generation (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Biomass and waste electricity net generation (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous consumption (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous consumption (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous exports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous exports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous exports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous exports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous exports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous exports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous exports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous exports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous exports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous exports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous imports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous imports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous imports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous imports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous imports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous imports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous imports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous imports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous imports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous imports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous production (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous production (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bituminous production (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bituminous production (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bunker distillate fuel oil consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bunker distillate fuel oil consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bunker fuel consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bunker fuel consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bunker residual fuel oil consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bunker residual fuel oil consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Bunker residual fuel oil consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Bunker residual fuel oil consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
CO2 emissions (million metric tonnes carbon dioxide),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,CO2 emissions (million metric tonnes carbon dioxide),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal and coke CO2 emissions (million metric tonnes carbon dioxide),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal and coke CO2 emissions (million metric tonnes carbon dioxide),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal consumption (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal consumption (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal exports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal exports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal exports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal exports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal exports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal exports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal exports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal exports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal exports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal exports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal fossil fuel (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal fossil fuel (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal imports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal imports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal imports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal imports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal imports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal imports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal imports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal imports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal imports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal imports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal production (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal production (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal production (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal production (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Coal reserves (million short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Coal reserves (million short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Consumed natural gas CO2 emissions (million metric tonnes carbon dioxide),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Consumed natural gas CO2 emissions (million metric tonnes carbon dioxide),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Crude oil including lease condensate exports (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Crude oil including lease condensate exports (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Crude oil including lease condensate imports (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Crude oil including lease condensate imports (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Crude oil including lease condensate production (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Crude oil including lease condensate production (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Crude oil including lease condensate production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Crude oil including lease condensate production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Crude oil including lease condensate production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Crude oil including lease condensate production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Crude oil including lease condensate production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Crude oil including lease condensate production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Crude oil including lease condensate production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Crude oil including lease condensate production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
"Crude oil, NGPL, and other liquids production (thousand barrels per day)",EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,"Crude oil, NGPL, and other liquids production (thousand barrels per day)",Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Distillate fuel oil consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Distillate fuel oil consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Distillate fuel oil consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Distillate fuel oil consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
